Cathode area (mm2),Anode area (mm2),Cell voltage (V),Cell current (A),Power (w),Water flow rate (mL/min),Hydrogen flow rate (mL/min),Temperature (K)
4.16,6.15,3,0.027449268,0.171283429,12,0.6,333.15
4.16,6.15,1.5,0.046255907,0.346364231,12,1.4,333.15
4.16,6.15,1.8,0.079779986,0.696957957,12,3,333.15
4.16,6.15,2.1,0.157874546,1.576219471,12,5.8,333.15
4.16,6.15,2.4,0.251505728,2.824912333,12,8.6,333.15
4.16,6.15,2.7,0.358066575,4.468670859,12,13.1,333.15
4.16,6.15,3,0.030325935,0.189233836,12,1,343.15
4.16,6.15,1.5,0.058654946,0.439208235,12,2.4,343.15
4.16,6.15,1.8,0.103365126,0.902997745,12,4.4,343.15
4.16,6.15,2.1,0.196897886,1.965828492,12,6.6,343.15
4.16,6.15,2.4,0.308867508,3.469199848,12,10.6,343.15
4.16,6.15,2.7,0.424647568,5.299601654,12,16.4,343.15
6.15,6.15,3,0.00024083,0.00222166,12,0,313.15
6.15,6.15,1.5,0.000313486,0.003470292,12,0,313.15
6.15,6.15,1.8,0.000530549,0.006852034,12,0,313.15
6.15,6.15,2.1,0.000932404,0.01376228,12,0,313.15
6.15,6.15,2.4,0.002568943,0.042657294,12,0.1,313.15
6.15,6.15,2.7,0.003590437,0.066243564,12,0.2,313.15
6.15,6.15,3,0.000356802,0.003291496,12,0,323.15
6.15,6.15,1.5,0.000582961,0.006453377,12,0,323.15
6.15,6.15,1.8,0.000956736,0.012356248,12,0,323.15
6.15,6.15,2.1,0.002214525,0.03268639,12,0.02,323.15
6.15,6.15,2.4,0.003646668,0.060552929,12,0.04,323.15
6.15,6.15,2.7,0.004597535,0.084824523,12,0.4,323.15
6.15,6.15,3,0.000417543,0.00385183,12,0,333.15
6.15,6.15,1.5,0.000684694,0.007579567,12,0,333.15
6.15,6.15,1.8,0.0010423,0.013461306,12,0,333.15
6.15,6.15,2.1,0.002678722,0.039537944,12,0.02,333.15
6.15,6.15,2.4,0.00389683,0.064706855,12,0.06,333.15
6.15,6.15,2.7,0.005962947,0.110016374,12,2,333.15
6.15,6.15,3,0.000613998,0.005664135,12,0,343.15
6.15,6.15,1.5,0.000871692,0.009649626,12,0,343.15
6.15,6.15,1.8,0.001750832,0.022611998,12,0.02,343.15
6.15,6.15,2.1,0.003946698,0.058253266,12,0.04,343.15
6.15,6.15,2.4,0.005315329,0.088261038,12,0.06,343.15
6.15,6.15,2.7,0.008385769,0.154717435,12,0.8,343.15
5.72,6.15,3,0.001799265,0.015437698,12,0,293.15
5.72,6.15,1.5,0.004342844,0.044713923,12,0.02,293.15
5.72,6.15,1.8,0.01405579,0.168838154,12,0.4,293.15
5.72,6.15,2.1,0.047497461,0.652045139,12,1.8,293.15
5.72,6.15,2.4,0.092206739,1.424040875,12,3.8,293.15
5.72,6.15,2.7,0.138093935,2.369691929,12,6,293.15
5.72,6.15,3,0.00541301,0.046443627,12,0.02,313.15
5.72,6.15,1.5,0.019613041,0.201935868,12,0.6,313.15
5.72,6.15,1.8,0.035028512,0.420762487,12,1.4,313.15
5.72,6.15,2.1,0.060754803,0.834041936,12,2.6,313.15
5.72,6.15,2.4,0.116452046,1.798485391,12,5,313.15
5.72,6.15,2.7,0.178052962,3.055388825,12,8,313.15
5.72,6.15,3,0.013274173,0.113892405,12,0.4,323.15
5.72,6.15,1.5,0.025636842,0.263956924,12,0.8,323.15
5.72,6.15,1.8,0.04760137,0.571787661,12,2,323.15
5.72,6.15,2.1,0.083849089,1.15108029,12,4,323.15
5.72,6.15,2.4,0.147870594,2.283713446,12,7,323.15
5.72,6.15,2.7,0.214259038,3.6766851,12,10,323.15
5.72,6.15,3,0.024909377,0.213722458,12,0.6,333.15
5.72,6.15,1.5,0.032966421,0.339422267,12,1.2,333.15
5.72,6.15,1.8,0.056095461,0.673818682,12,3,333.15
5.72,6.15,2.1,0.106696086,1.464723864,12,5,333.15
5.72,6.15,2.4,0.163654955,2.527487123,12,8,333.15
5.72,6.15,2.7,0.224800109,3.857569871,12,12,333.15
5.72,6.15,3,0.028619257,0.245553222,12,1,343.15
5.72,6.15,1.5,0.036283014,0.373569909,12,1.6,343.15
5.72,6.15,1.8,0.063330241,0.760722854,12,4.4,343.15
5.72,6.15,2.1,0.115800611,1.589710787,12,6,343.15
5.72,6.15,2.4,0.178563014,2.757727194,12,10,343.15
5.72,6.15,2.7,0.252223056,4.328147634,12,15,343.15
6.56,9,3,0.003282753,0.078786075,24,0.004,293.15
6.56,9,1.5,0.011749401,0.300784664,24,0.04,293.15
6.56,9,1.6,0.025451837,0.692289967,24,0.2,293.15
6.56,9,1.7,0.039702277,1.143425592,24,0.32,293.15
6.56,9,1.8,0.05510995,1.675342477,24,0.48,293.15
6.56,9,1.9,0.073827788,2.36248923,24,0.8,293.15
6.56,9,2,0.012254475,0.294107412,24,0.04,313.15
6.56,9,1.5,0.042860277,1.097223091,24,0.4,313.15
6.56,9,1.6,0.077651559,2.112122405,24,0.76,313.15
6.56,9,1.7,0.112372757,3.236335396,24,1.12,313.15
6.56,9,1.8,0.141102464,4.289514901,24,1.36,313.15
6.56,9,1.9,0.175616302,5.619721657,24,1.72,313.15
6.56,9,2,0.015705035,0.37692083,24,0.08,323.15
6.56,9,1.5,0.045236478,1.158053844,24,0.44,323.15
6.56,9,1.6,0.078149798,2.125674516,24,0.8,323.15
6.56,9,1.7,0.112509129,3.240262929,24,1.08,323.15
6.56,9,1.8,0.137853076,4.190733519,24,1.36,323.15
6.56,9,1.9,0.167633406,5.364268986,24,1.64,323.15
6.56,9,2,0.01524206,0.365809432,24,0.08,333.15
6.56,9,1.5,0.036510754,0.934675305,24,0.36,333.15
6.56,9,1.6,0.062595063,1.702585718,24,0.64,333.15
6.56,9,1.7,0.087656444,2.524505575,24,1.04,333.15
6.56,9,1.8,0.111563953,3.391544163,24,1.16,333.15
6.56,9,1.9,0.134887462,4.316398771,24,1.32,333.15
6.56,9,2,0.012388814,0.297331531,24,0.04,343.15
6.56,9,1.5,0.027529002,0.704742444,24,0.32,343.15
6.56,9,1.6,0.04453662,1.211396055,24,0.48,343.15
6.56,9,1.7,0.060853115,1.752569713,24,0.72,343.15
6.56,9,1.8,0.075130599,2.283970223,24,0.92,343.15
6.56,9,1.9,0.085445532,2.734257023,24,1.04,343.15
5.8,9,2,0.010548636,0.253167268,24,0.08,293.15
5.8,9,1.5,0.027467622,0.703171112,24,0.16,293.15
5.8,9,1.6,0.050441541,1.372009903,24,0.4,293.15
5.8,9,1.7,0.076438086,2.201416877,24,0.6,293.15
5.8,9,1.8,0.106365254,3.233503727,24,0.84,293.15
5.8,9,1.9,0.130152983,4.164895445,24,1.04,293.15
5.8,9,2,0.011114583,0.266749981,24,0.04,313.15
5.8,9,1.5,0.031655294,0.810375514,24,0.16,313.15
5.8,9,1.6,0.054161108,1.47318215,24,0.4,313.15
5.8,9,1.7,0.078204315,2.252284258,24,0.64,313.15
5.8,9,1.8,0.105923427,3.220072183,24,0.92,313.15
5.8,9,1.9,0.133726769,4.279256607,24,1.2,313.15
5.8,9,2,0.014066542,0.337596998,24,0.08,323.15
5.8,9,1.5,0.035930961,0.919832598,24,0.28,323.15
5.8,9,1.6,0.063976624,1.740164171,24,0.56,323.15
5.8,9,1.7,0.092186936,2.654983759,24,0.84,323.15
5.8,9,1.8,0.123860467,3.765358187,24,1,323.15
5.8,9,1.9,0.151628098,4.852099133,24,1.28,323.15
5.8,9,2,0.01646368,0.395128317,24,0.08,333.15
5.8,9,1.5,0.038377655,0.982467974,24,0.32,333.15
5.8,9,1.6,0.063106489,1.716496506,24,0.6,333.15
5.8,9,1.7,0.090963032,2.619735336,24,0.88,333.15
5.8,9,1.8,0.127403317,3.873060829,24,1.28,333.15
5.8,9,1.9,0.180179998,5.765759923,24,1.6,333.15
5.8,9,2,0.016529628,0.396711064,24,0.08,343.15
5.8,9,1.5,0.033640225,0.861189756,24,0.32,343.15
5.8,9,1.6,0.052054282,1.415876474,24,0.52,343.15
5.8,9,1.7,0.077742076,2.238971776,24,0.8,343.15
5.8,9,1.8,0.101687509,3.091300279,24,1.12,343.15
